source_id,solution_id,ra,dec,wavelength,flux,flux_error
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,336.0,1.0222167E-12,9.454958E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,338.0,1.0688353E-12,8.324078E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,340.0,1.0129762E-12,7.7135204E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,342.0,9.330477E-13,7.4328286E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,344.0,9.253294E-13,7.520142E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,346.0,9.475675E-13,7.8507764E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,348.0,9.233833E-13,8.460326E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,350.0,8.641063E-13,9.228766E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,352.0,8.964382E-13,1.0198544E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,354.0,1.0193115E-12,1.1030944E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,356.0,1.0389115E-12,1.0705905E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,358.0,9.472365E-13,9.475881E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,360.0,9.123284E-13,8.987223E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,362.0,9.270664E-13,8.552077E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,364.0,9.128479E-13,8.7180595E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,366.0,8.48847E-13,8.9188734E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,368.0,8.0920394E-13,9.381926E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,370.0,8.6168735E-13,9.974597E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,372.0,9.648901E-13,1.02142036E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,374.0,1.0216908E-12,1.11069885E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,376.0,1.0240034E-12,1.1478383E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,378.0,1.0911477E-12,1.2320541E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,380.0,1.2742436E-12,1.2931746E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,382.0,1.4562953E-12,1.2707955E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,384.0,1.5067962E-12,1.2785239E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,386.0,1.4491753E-12,1.166199E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,388.0,1.4103783E-12,1.0565861E-13
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,390.0,1.4395756E-12,9.7216926E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,392.0,1.481314E-12,8.384555E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,394.0,1.4623196E-12,7.6714446E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,396.0,1.387661E-12,7.121147E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,398.0,1.3197279E-12,6.3393226E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,400.0,1.307496E-12,6.058419E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,402.0,1.3508346E-12,5.803312E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,404.0,1.3895195E-12,5.288296E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,406.0,1.37645E-12,5.1463926E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,408.0,1.3055471E-12,5.0233855E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,410.0,1.2145198E-12,4.6123536E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,412.0,1.154848E-12,4.4658213E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,414.0,1.1580875E-12,4.4673077E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,416.0,1.2045069E-12,4.1594962E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,418.0,1.2530951E-12,3.9555097E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,420.0,1.2657697E-12,4.0244917E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,422.0,1.2305246E-12,3.8424877E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,424.0,1.1650466E-12,3.4967807E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,426.0,1.1015766E-12,3.4840193E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,428.0,1.0585824E-12,3.5052222E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,430.0,1.0416485E-12,3.1974884E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,432.0,1.0378432E-12,2.9299185E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,434.0,1.0309892E-12,3.004379E-14
5021010046848175616,4545469030156206080,31.122699247888466,-29.296752376632117,436.0,1.0161841E-12,2.983734E-14
